"id","year","major_head","estimate_type","major_category","minor_category","sub_category","amount"
206,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","182 Days Treasury Bills Repayments",-225089.11
207,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","364 Days Treasury Bills Gross Borrowings",194396.0
208,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","364 Days Treasury Bills Repayments",-159685.0
209,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","Cash Management Bills Gross Borrowings",200000.0
210,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","Cash Management Bills Repayments",-200000.0
211,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","Ways & Means Advances Gross Borrowings",900000.0
212,"2018-2019","6001","Revised","Borrowings","Short Term Borrowings","Ways & Means Advances Repayments",-900000.0
213,"2018-2019","6001","Revised","Securities against Small Savings","Receipts","Ways & Means Advances ",138533.0
214,"2018-2019","6001","Revised","Securities against Small Savings","Repayments","Ways & Means Advances ",-13533.0
215,"2018-2019","8009","Revised","State Provident Funds","Receipts","Ways & Means Advances ",72000.0
216,"2018-2019","8009","Revised","State Provident Funds","Disbursements","Ways & Means Advances ",-55000.0
217,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Receipts ",""
218,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","Relief Bonds","Disbursements ",-68.01
219,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Receipts ",21220.11
220,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","Saving Bonds","Disbursements ",-1854.03
221,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Receipts ",5000.0
222,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","Other (Gold Bonds, Gold Monetisation etc.)","Disbursements ",""
223,"2018-2019","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Receipts ",1421807.28
224,"2018-2019","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Disbursements ",-1432602.39
225,"2018-2019","9002","Revised","Other Receipts (Internal Debts and Public Account)","Other Receipts (Public Account Other than State Provident Funds)","Less Receipts ",""
226,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Receipts",9278.35
227,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Repayments",-4587.8
228,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Monetary Fund Less Receipts netted",-9792.9
229,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Receipts",408.34
230,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","International Development Association Repayments",-389.88
231,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Receipts",68.97
232,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","Asian Development Bank and Fund Repayments",-145.24
233,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Receipts",37.24
234,"2018-2019","6001","Revised","Other Receipts (Internal Debts and Public Account)","International Financial Institutions","African Development Fund and Bank Repayments",-27.34
235,"2018-2019","6002","Revised","External Debt","Multilateral","International Bank for Reconstruction and Development Receipts",7257.0
236,"2018-2019","6002","Revised","External Debt","Multilateral","International Bank for Reconstruction and Development Repayments",-6474.77
237,"2018-2019","6002","Revised","External Debt","Multilateral","International Development Association Receipts",6932.0
238,"2018-2019","6002","Revised","External Debt","Multilateral","International Development Association Repayments",-13077.69
239,"2018-2019","6002","Revised","External Debt","Multilateral","International Fund for Agricultural Development Receipts",332.0
240,"2018-2019","6002","Revised","External Debt","Multilateral","International Fund for Agricultural Development Repayments",-104.1
241,"2018-2019","6002","Revised","External Debt","Multilateral","Asian Development Bank Receipts",10055.0
242,"2018-2019","6002","Revised","External Debt","Multilateral","Asian Development Bank Repayments",-4119.27
243,"2018-2019","6002","Revised","External Debt","Multilateral","Eastern European Community (SAC) Receipts",""
244,"2018-2019","6002","Revised","External Debt","Multilateral","Eastern European Community (SAC) Repayments",-9.21
245,"2018-2019","6002","Revised","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Receipts",""
246,"2018-2019","6002","Revised","External Debt","Multilateral","Organisation of the Petroleum Exporting Countries Repayments",-15.86
247,"2018-2019","6002","Revised","External Debt","Multilateral","New Development Bank Receipts",1083.0
248,"2018-2019","6002","Revised","External Debt","Multilateral","New Development Bank Repayments",""
249,"2018-2019","6002","Revised","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Receipts",1108.0
250,"2018-2019","6002","Revised","External Debt","Multilateral","Asian Infrastructure Investment Bank (AIIB) Repayments",""
251,"2018-2019","6002","Revised","External Debt","Bilateral","Germany Receipts",1289.0
252,"2018-2019","6002","Revised","External Debt","Bilateral","Germany Repayments",-1202.8
253,"2018-2019","6002","Revised","External Debt","Bilateral","France Receipts",731.0
254,"2018-2019","6002","Revised","External Debt","Bilateral","France Repayments",-232.46
255,"2018-2019","6002","Revised","External Debt","Bilateral","Japan Receipts",7954.0
256,"2018-2019","6002","Revised","External Debt","Bilateral","Japan Repayments",-5153.59
257,"2018-2019","6002","Revised","External Debt","Bilateral","Switzerland Receipts",""
258,"2018-2019","6002","Revised","External Debt","Bilateral","Switzerland Repayments",-0.16
259,"2018-2019","6002","Revised","External Debt","Bilateral","USA Receipts",""
260,"2018-2019","6002","Revised","External Debt","Bilateral","USA Repayments",-178.96
261,"2018-2019","6002","Revised","External Debt","Bilateral","Russian Federation Receipts",2624.0
